id,name,en,cat,icon,hunger,hp,passive,luck_bonus,speed_bonus,placeable,playable,unlocks_area,tags,rarity,def,desc,alt
pandora,パンドラ,Pandora,story,word/pandora.png,,,開けるか、開けないか,,,1,1,,ふしぎ|おくる,8,パンドラ,pan(すべて)+dor(贈り物)。美しい箱だが、開けるかどうかは別問題。,
danna,旦那,Danna,support,word/danna.png,,,お布施の支援,5,,1,,,おくる,7,旦那、檀那,サンスクリット語 dāna『施し・布施』から。もとは支援者を指した。,
pardon,パードン,Pardon,support,word/pardon.png,,,許しのカード,2,,,,,おくる|ゆるす,4,許し、許す,par(完全に)+doner(与える)。許しを与えるカード。,
pond,いけ,Pond,support,word/pond.png,,,,,,1,,,みず,5,池,pound(家畜を囲うさく)と同源。『囲われた水たまり』が池になった。箱庭に置くと つりができる。,🏞️
library,としょかん,Library,support,word/library.png,,,,,,1,,,しる|はなし,6,図書館,ラテン語 liber(本)が語源。liberの元の意味は『木の皮』。むかしは樹皮に文字を書いた。箱庭に置くと 本がよめる。,📚
cattle,キャトル,Cattle,food,word/cattle.png,25,,,,,,,,たべもの,3,牛、家畜,もとは「財産」全般を指した語。牛だけを指すようになるのは16世紀末。頭数で数えたから *kaput-(頭)の子。,
bacalao,バカラオ,Bacalao,food,word/bacalao.png,18,,,,,,,,たべもの,6,たら、干し鱈,大西洋を渡った保存食。船乗りの遠征を支えた干し鱈。,
precipitation,プレシピテーション,Precipitation,support,word/precipitation.png,,,雨をよぶ,,,,,,みず,6,降水,原義は「頭から真っ逆さま」。まっさかさまに落ちてくるものが、そのまま「降水」になった。,
kerchief,カチーフ,Kerchief,support,word/kerchief.png,,,頭を覆う,2,,,,,かぶる,4,頭巾、首巻き,couvre(覆う)+chief(頭)。頭を覆う布。カバーとチーフが一枚の布の中で出会っている。,
chieftain,チーフテン,Chieftain,support,word/chieftain.png,,,一族をひきいる,3,,,,,ひきいる,5,首領、族長,captain と同じラテン語 capitaneus の別の姿。綴りが二手に分かれただけの双子。,
corporal,コーポラル,Corporal,support,word/corporal.png,,,隊をまとめる,2,,,,,ひきいる,5,伍長,「肉体の」corporal とは別語。イタリア語 capo「頭」から来た、隊の小さな頭。,
cadet,カデット,Cadet,support,word/cadet.png,,,小さな頭,2,,,,,ひきいる,4,士官候補生,中世ラテン語で「小さな頭」。長男が家の頭、次男は小さな頭、という言い方から。,
heading,ヘディング,Heading,support,word/heading.png,,,進路を読む,,0.05,,,,しる|ただす,3,見出し、進路,1300年ごろの意味は「首を切ること」。見出しの意は1849年から。船の「進路」も heading。,
chapter,チャプター,Chapter,support,word/chapter.png,,,章をたどる,,,,,,しる|はなし,3,章、支部,ラテン語で「小さな頭」。本の頭出しの見出しが、そのまま章になった。,
recapitulate,リキャピチュレート,Recapitulate,support,word/recapitulate.png,,,要点をなぞる,2,,,,,しる|はなし,6,要約する,章(頭)をもう一度たどること。長い話を頭だけ拾って組み直す。,
headline,ヘッドライン,Headline,support,word/headline.png,,,大見出しで報せる,,,,,,はなし|ひかり,4,大見出し,もとは印刷用語で、ページ上端の題と番号の行。新聞の見出しは1890年から。,
headphone,ヘッドホン,Headphone,fun,word/headphone.png,,14,,,,1,1,,はなし,5,ヘッドホン,head(頭)+phone(声)。頭にのせる声。箱庭に置くと 音楽がきける。,
capo,カポ,Capo,fun,word/capo.png,,10,弦の頭をおさえる,,,1,,,はなし,6,カポ(楽器の器具),イタリア語 capo「頭」。弦の頭を押さえて、音の高さを一段上げる金具。,
biceps,バイセップス,Biceps,support,word/biceps.png,,,二つの頭の力,,,,,,ちから,4,二頭筋,ラテン語で「二つの頭」。-s があっても単数で、bicep という語は無い。,
triceps,トライセップス,Triceps,support,word/triceps.png,,,三つの頭の力,,,,,,ちから,5,三頭筋,ラテン語で「三つの頭」。筋肉の起点が三つあることから付いた名。,
hammerhead,ハンマーヘッド,Hammerhead,support,word/hammerhead.png,,,頭で打ちくだく,,,,,,ちから|なげる,6,ハンマーの頭、シュモクザメ,打つための頭。金槌の頭でもあり、頭が横に張り出したサメの名でもある。,
caddie,キャディ,Caddie,support,word/caddie.png,,,荷をはこぶ,2,0.05,,,,おくる,4,キャディ、荷運び,フランス語 cadet(次男)が縮んだ語。使い走りから、ゴルフの荷運びへ。,
cabochon,カボション,Cabochon,support,word/cabochon.png,,,光る石をさしだす,4,,,,,ひかり|おくる,7,カボション(丸磨きの宝石),古北フランス語 caboche「頭」から。角を立てず、頭のように丸く磨いた石。,
capitulum,キャピチュラム,Capitulum,support,word/capitulum.png,,,小さな頭が集まって咲く,,,1,,,いのち,7,頭状花序,たくさんの小さな花が集まって、一つの頭に見える形。ひまわりもタンポポもこれ。,
ahead,アヘッド,Ahead,support,word/ahead.png,,,前へ,,0.08,,,,ただす|しる,3,前方に,中身は「頭の側に」。もとは船の用語で astern(船尾側)の反対だった。,
precipitate,プレシピテート,Precipitate,support,word/precipitate.png,,,一気に進める,,0.12,,,,はやい,6,早める、まっさかさまに落とす,もとは「頭から真っ逆さまに落とす」。急に事を起こす意は1620年代から。,
headquarters,ヘッドクォーターズ,Headquarters,support,word/headquarters.png,,,拠点をかまえる,2,,1,,,,6,本部、司令部,単数の a headquarter は存在しない。原義は「司令官の住まい」。箱庭に置くと 拠点になる。,
capitol,キャピトル,Capitol,support,word/capitol.png,,,丘の上の議事堂,,,1,,,,8,議事堂,古代ローマの神殿の名。共和政のローマを重ねて、議事堂の名になった。,
achieve,アチーブ,Achieve,support,word/achieve.png,,,頭に届く,3,,,,,,4,達成する,原義は「頭に届く」。ラテン語 caput から、やり遂げるの意になった。,
mischief,ミスチーフ,Mischief,fun,word/mischief.png,,8,,,,,,,,3,いたずら,mis-(悪く)+chief(頭)。もとは「災難、悪事」で、いたずら程度に軽くなったのは1784年ごろ。,
