w,root,split_a,split_b,morphs,ipa,pos,jp,gloss,memo,ex_en,ex_ja,region,rarity,pie_p,p
fate,bha,,,,,名,運命,destiny,原義は「神が口にしたこと」。語られた言葉が運命になる。,,,L,491,,bhā-2
infant,bha,in,fant,in_neg|fant,[ínfənt],名,幼児,まだ話せない子,ラテン語の原義は「話せない者」。ことばを持たない時期が幼児。,The <mark>infant</mark> smiled at me.,赤ちゃんが私に微笑んだ,L,537,,ne+bhā-2
ban,bha,,,,,名,禁止,prohibition,古英語では「呼び集める、布告する」。禁止の意味は14世紀末から。,,,G,656,,bhā-2
smartphone,bha,smart,phone,phon,[smɑ́ːrtfòun],名,スマートフォン,かしこい“声”の板,phone は「声」。スマホを一皮むくと、5000年前の“声”の祖先が入っている。,My <mark>smartphone</mark> knows this word too.,私のスマホもこの単語を知っている,Gr,150,-,
fame,bha,fam,e,fam,[féim],名,名声,みんなに話されること,ラテン語では「うわさ」。悪評も fama で、良し悪しは問わなかった。,She rose to <mark>fame</mark> overnight.,彼女は一夜にして有名になった,L,619,,bhā-2
telephone,bha,tele,phone,tele|phon,[téləfòun],名,電話,遠くの声,1828年に作られた、音階で言葉を送る仕組みの名が先だった。,Bell invented the <mark>telephone</mark>.,ベルが電話を発明した,Gr,567,,kʷel-2+bhā-2
fable,bha,fab,le,fab|le,[féibl],名,寓話,語られるもの,字義は「語られたもの」。動物の話に絞られたのはイソップ人気から。,Aesop's <mark>fables</mark> are still read today.,イソップ寓話は今も読まれている,L,853,,bhā-2
prophet,bha,pro,phet,pro|phet,[prɑ́fit],名,預言者,前もって語る人,ギリシャ語で「代わりに語る者」。神の言葉を伝える人だった。,He was seen as a <mark>prophet</mark>.,彼は預言者とみなされた,Gr,604,,per1+bhā-2
quick,gwei,quick,,quick,[kwík],形,すばやい,生きている → ぴちぴち動く → 速い,古英語では「生きている」。生き生きしていることが「速い」に。,Be <mark>quick</mark>! The bus is leaving.,急いで!バスが出ちゃう,G,394,,gwei-
vitamin,gwei,,,,,名,ビタミン,nutrient,命 vita とアミンの合成語。アミンでないと判明し末尾の e が落ちた。,,,L,590,,gwei-
whiskey,gwei,,,,,名,ウイスキー,grain liquor,原義は「命の水」。ゲール語 uisge beatha を縮めた形。,,,Ce,697,,wed-1+gwei-
zoo,gwei,zoo,,zoo,[zúː],名,動物園,生きものたちの場所,Zoological Gardens の頭3文字。当初は下品な略語と嫌われた。,We went to the <mark>zoo</mark>.,動物園へ行った,Gr,794,,gwei-
vital,gwei,,,,,形,生命の、不可欠な,of life / essential,「きわめて重要」の意は1610年代から。命に関わるほど、という含み。,,,L,472,,gwei-
survive,gwei,sur,vive,sur|viv,[sərváiv],動,生きのびる,危機を越えて生きる,もとは相続の法律用語。「誰より長生きするか」を言う語だった。,They <mark>survived</mark> the storm.,彼らは嵐を生きのびた,L,489,,uper+gwei-
biological,gwei,,,,,形,生物学の,life-science,体内時計を指す言い方は1955年から。意外に新しい言葉。,,,Gr,442,,gwei-+leg-
vita,gwei,,,,,名,略歴,brief biography,ラテン語で「命」。履歴書を指すようになったのは1949年ごろから。,,,L,929,,gwei-
vivid,gwei,viv,id,viv|id,[vívid],形,鮮やかな、生き生きした,生きているみたいな,原義は「生きている」。色について使うのは1660年代から。,I had a <mark>vivid</mark> dream.,生々しい夢を見た,L,641,,gwei-
a,oino,,,,,冠,一つの,one,もとは one。an の n が子音の前で消えて a になった。,,,G,1,,oi-no-
an,oino,,,,,冠,一つの,one,a より古い、もとの形。古英語では「一つ」そのものだった。,,,G,1,,oi-no-
one,oino,one,,one,[wʌ́n],名/形,1、ひとつの,すべての数のはじまり,発音は本来「オーン」。only や alone に昔の音が残っている。,<mark>One</mark> more time!,もう一回!,G,1,,oi-no-
eleven,oino,,,,,名,11,11,語源は「ひとつ残る」。十を取り去ってなお一つ余る、の意。,,,G,563,,oi-no-+leikʷ-
no,oino,,,,,形,一つも〜ない,zero,「いいえ」の no とは別語。none が縮んだ形。ne＋one で「一つも無い」が中身。,,,G,884,,ne+oi-no-
onion,oino,,,,,名,タマネギ,bulb vegetable,ラテン語の「一つ」から。ニンニクと違い、層が重なって一つだから。,,,L,628,,oi-no-
unique,oino,uni,que,uni|que,[juːníːk],形,唯一の,世界にひとつだけの,原義は「ただ一つの」。「珍しい」の意味は19世紀の誤用から広まった。,Your idea is <mark>unique</mark>.,きみのアイデアは唯一無二だ,L,385,,oi-no-
union,oino,uni,on,uni|on,[júːniən],名,結合、連合,ひとつになること,ラテン語 unio は「一粒の真珠」、そして「玉ねぎ」も指した。,The two clubs formed a <mark>union</mark>.,2つのクラブは連合を組んだ,L,477,,oi-no-
alone,oino,al,one,al|one,[əlóun],形/副,ひとりで,まるごとひとり,all one(まったくひとり)の縮まった形。one の古い発音がここに残る。,I like being <mark>alone</mark>.,一人でいるのが好きだ,G,263,,al-5+oi-no-
rule,reg,rule,,rule,[rúːl],名/動,規則、支配(する),まっすぐな棒 → ものさし → ルール,ラテン語 regula は「まっすぐな棒」。定規と規則は同じ語だった。,Follow the <mark>rules</mark>.,ルールを守ろう,L,324,,reg-
rich,reg,,,,,形,金持ちの、濃厚な,affluent / heavy in flavor,古英語では「強い、身分が高い」。ケルト語の「王」からの借用語。,,,G,374,,reg-
dress,reg,,,,,名,ドレス,attire,原義は「まっすぐにする」。服を着せる意味は14世紀末から。,,,L,409,,de-+reg-
right,reg,right,,right,[ráit],形/名,正しい、右、権利,まっすぐな → 正しい,原義は「まっすぐ、正しい」。方角の「右」は正しい手の側から。,You're <mark>right</mark>.,きみの言うとおりだ,G,83,,reg-
regal,reg,reg,al,reg|al2,[ríːɡl],形,王者の、堂々たる,まっすぐ導く人=王,語根は「まっすぐ引く」。まっすぐ導く者が王だった。,She has a <mark>regal</mark> air.,彼女には王者の風格がある,L,862,,reg-
direct,reg,di,rect,di|rect,[dərékt],動/形,導く、直接の,まっすぐに導く,dis-(離れて)+regere(まっすぐ導く)で、まっすぐ差し向けること。,Can you <mark>direct</mark> me to the station?,駅までの道を教えて,L,318,,dwis-+reg-
history,weid,hist,ory,hist|ory,[hístəri],名,歴史,見て知った者の物語,ギリシャ語で「見て知った人の報告」。語根はやはり「見る」。,He studies ancient <mark>history</mark>.,彼は古代史を研究している,Gr,228,,weid-
view,weid,,,,,名,眺め、見解,scene / opinion,ラテン語 videre(見る)から。「見え方」がそのまま「意見」にも育った。,,,L,235,,weid-
vision,weid,,,,,名,視力、幻,sight / apparition,最初は「幻、まぼろし」の意味だった。「視力」を指すのは15世紀末から。,,,L,369,,weid-
wise,weid,wis,e,wis,[wáiz],形,賢い,たくさん見てきた人,語根は「見る」。よく見た者が知る者、つまり賢い者になった。,A <mark>wise</mark> old owl.,賢い老フクロウ,G,474,,weid-
story,weid,,,,,名,物語,narrative,history の頭が落ちた形。16世紀まで「歴史」と区別が無かった。,,,Gr,247,,weid-
idol,weid,,,,,名,偶像,icon,ギリシャ語では「幻」「亡霊」の意でもあった。,,,Gr,765,,weid-
eidolon,weid,,,,,名,幻,apparition,ギリシャ語 eidolon(姿、幻)から。idol と同じ語である。,,,Gr,1227,,weid-
idea,weid,ide,a,ide|a,[aidíːə],名,考え、アイデア,心に見えたかたち,原義は「見えた姿」。「見る」の語根から、プラトンの原型の意へ。,What a great <mark>idea</mark>!,なんていいアイデアだ!,Gr,226,,weid-
video,weid,vid,eo,vid|o,[vídiòu],名,動画、映像,「私は見る」,ラテン語で「私は見る」。1935年、audio にならって作られた語。,We watched a funny <mark>video</mark>.,面白い動画を見た,L,418,,weid-
wizard,weid,wiz,ard,wis|ard,[wízərd],名,魔法使い,賢すぎる人 → 魔法使い,もとは「賢い人」。魔術師の意になったのは1550年ごろ。,Merlin is a famous <mark>wizard</mark>.,マーリンは有名な魔法使いだ,G,764,,weid-
subject,ye,sub,ject,sub|ject,[sʌ́bdʒikt],名,主題、科目,議論の下に投げ置かれたもの,原義は「下に投げられた者」。支配される臣民が、いつしか文の主語に。,Math is my favorite <mark>subject</mark>.,数学はいちばん好きな科目だ,L,266,,upo+yē-
disease,ye,,,,,名,病気,illness,ease「楽」を dis- で打ち消した語で、もとは「不快、不便」だった。,,,L,274,,dwis-+yē-
ease,ye,,,,,名,容易さ、和らげる,effortlessness / soothe,原義は「そばに横たわる」。寝そべる姿がそのまま「楽」になった。,,,L,485,,ad-+yē-
project,ye,pro,ject,pro|ject,[prɑ́dʒekt],名/動,計画、投影(する),未来へ投げるもの,原義は「前に投げ出されたもの」。投影も計画も「投げる」から。,Our <mark>project</mark> starts Monday.,プロジェクトは月曜に始まる,L,285,,per1+yē-
jet,ye,jet,,jet,[dʒét],名,ジェット機、噴出,投げ出されるもの → 噴射,原義は「投げる」。勢いよく飛び出す水の意から、ジェット機まで来た。,The <mark>jet</mark> took off at noon.,ジェット機は正午に離陸した,Gr,625,,yē-
inject,ye,in,ject,in|ject,[indʒékt],動,注入する,中へ投げ込む,分解すると「中へ投げ入れる」。1600年ごろ、医学の言葉として英語に入った。,The doctor <mark>injected</mark> the vaccine.,医師はワクチンを注射した,L,821,,en+yē-
marine,mori,mar,ine,,[məríːn],形/名,海の・海に関する,海に属するもの,同じ「海」でも古英語は sælic。ラテン語 mare がそれを追い出した。,<mark>Marine</mark> life fills the blue sea.,海の生きものが青い海を満たしている,L,553,,mori-
submarine,mori,,,,,名,潜水艦,undersea ship,1703年には「海の下に住む生き物」を指す語だった。,,,L,735,,mori-+upo
mermaid,mori,,,,,名,人魚,siren,原義はそのまま「海の乙女」。mere は今は使われない「海」の古語。,,,G,894,,mori-+maghu-
aquamarine,mori,,,,,名,アクアマリン,blue-green,ラテン語で「海の水」。aqua と marine を合わせた宝石名。,,,L,1084,,akʷ-ā-+mori-
marsh,mori,,,,,名,湿地,wetland,もとの綴りは mersh。語の芯にあるのは「海」を表す語根。,,,G,803,,mori-
mare,mori,,,,,名,月や火星の海,sea,月面の黒い部分。本当に海だと思われていたころの名残。,,,G,1216,,mori-
mere,mori,,,,,名,湖,lake,「単なる」mere とは別語。詩の言葉で、古くは「海」も指した。,,,L,1196,,mori-
merlin,mori,mer,lin,,[mə́ːrlin],名,魔法使いマーリン,“海の丘”の名をもつ大魔法使い,ケルトの地名「海の丘」がマーリンの名のもと。アーサー王を導いた伝説の魔法使い。,<mark>Merlin</mark> guided King Arthur.,マーリンはアーサー王を導いた,L,829,-,mori-
Morgan,mori,,,,,名,モーガン,surname,Morgan は古いケルト系の名で、芯にあるのは「海」。アーサー王物語の魔女モーガンの名として名高い――最近は J. P. Morgan さんのほうが有名かもしれないが。,,,Ce,533,,mori-
music,men,,,,,名,音楽,melody,原義は「ムーサの技」。古代ギリシャでは詩もこの語に含まれていた。,,,Gr,318,,men-1
monster,men,mon,ster,mon,[mɑ́nstər],名,怪物,警告として現れるもの,原義は「警告」。神が凶事を告げる前触れが怪物だった。,The <mark>monster</mark> appeared in the dark.,暗闇に怪物が現れた。,L,582,,men-1
mind,men,mind,,mind,[máind],名,心・精神,考えるはたらきそのもの,古英語では第一に「記憶」。思考や意志の意味は後から育った。,Keep this word in <mark>mind</mark>.,この単語を心に留めておこう。,G,180,,men-1
mental,men,,,,,名,精神の,psychological,「あごの」の mental とは別語。「頭がおかしい」という意味が付いたのは1927年ごろから。,,,L,339,,men-1
mania,men,,,,,名,熱狂,obsession,ギリシャ語で「狂気」。予言者を指す mantis と同源とされる。,,,Gr,841,,men-1
mantra,men,man,tra,man2|tra,[mǽntrə],名,マントラ,思考の道具,サンスクリット語で「思考の道具」。瞑想の言葉を指すのは1919年から。,She repeated a quiet <mark>mantra</mark>.,彼女は静かなマントラを繰り返した。,Sa,766,,men-1
data,do,dat,a,dat|a,[déitə],名,データ、資料,与えられたもの,「与えられたもの」datum の複数形。もとは計算の前提となる事実。,The <mark>data</mark> tells a story.,データは物語を語る。,L,112,,dō-
add,do,,,,,動,加える,append,ad(〜へ)+dere(置く)。「そばに置く」が「加える」になった。,,,L,362,,ad-+dō-
tradition,do,,,,,名,伝統,custom,trans(越えて)+dare(与える)で、原義は「手渡すこと」。,,,L,411,,terə-2+dō-
dose,do,,,,,名,服用量,portion,原義はギリシャ語の「与えること」。医師が処方する量を指した。,,,Gr,458,,dō-
donation,do,don,ation,don|ation,[dounéiʃən],名,寄付、寄贈,与えること,「与える」の語根から生まれた語で、日付の date とも同源。,The school received a <mark>donation</mark>.,学校は寄付を受け取った。,L,722,,dō-
antidote,do,anti,dote,anti|dot,[ǽntidòut],名,解毒剤、対抗策,毒に対して与える薬,原義は「向かい合わせに与えるもの」。毒に差し向ける薬という発想。,Time was the only <mark>antidote</mark>.,時間だけが解毒剤だった。,Gr,817,,ant-+dō-
donor,do,don,or,don|or,[dóunər],名,提供者、寄付者、ドナー,贈り物を与える人,臓器の提供者を指す用法は1918年、最初はモルモットの話。,A <mark>donor</mark> gave blood today.,今日、ドナーが献血した。,L,600,,dō-
pandora,do,pan,dora,pan|dor|a,[pændɔ́ːrə],名,パンドラ,すべての贈り物を持つ者,Pandora は pan(すべて)+dōron(贈り物)。美しい贈り物の箱は、開けたい気持ちと危うさを同時に連れてくる。,Do not open <mark>Pandora</mark>'s box.,パンドラの箱を開けてはいけない。,Gr,720,-,
date,do,dat,e,dat,[déit],名,日付、年月日,文書に与えられた日,ローマ人が手紙の末尾に書いた「与えられた日」から。,Write the <mark>date</mark> at the top.,上に日付を書いて。,Gr,332,,dō-
danna,do,dan,na,dan|na,[dánna],名,旦那、檀那,布施をする支援者,日本語の旦那は、サンスクリット語 dāna「施し・布施」に由来する檀那から。もとは寺や僧を支える人を指した。,The <mark>danna</mark> supported the temple.,旦那は寺を支援する人だった。,S,780,-,
pardon,do,par,don,par|don,[pɑ́ːrdn],名/動,許し、許す,罰を免れさせるように与えること,「心をこめて贈る」が原義。ラテン語の「完全に」+「贈る」から。,Please <mark>pardon</mark> the mistake.,その間違いをお許しください。,L,670,,per1+dō-
knee,genu,knee,,knee,[níː],名,ひざ,曲がるところ,語根は「膝、角度」。曲がっている所そのものを指す語だった。,Bend your <mark>knee</mark> slowly.,ゆっくりひざを曲げよう,G,505,,genu-1
diagonal,genu,dia,gonal,dia|gon,[daiǽgənəl],名/形,対角線・斜めの,角を横切る線,「角」を表すギリシャ語 gōnia は、もともと「膝」のこと。,Draw a <mark>diagonal</mark> line.,対角線を引こう,Gr,726,,dwo-+genu-1
polygon,genu,poly,gon,poly|gon,[pɑ́ligɑ̀n],名,多角形,たくさんの角をもつ図形,中身は「多くの角」。角を表す語根はもと「ひざ」。,Draw a <mark>polygon</mark> with six sides.,六つの辺をもつ多角形を描こう,Gr,882,,pelə-1+genu-1
hexagon,genu,hexa,gon,hexa|gon,[héksəgɑ̀n],名,六角形,六つの角をもつ図形,「角」を表すギリシャ語 gōnia は、もと「膝」の意味。,A honeycomb has a <mark>hexagon</mark> shape.,蜂の巣には六角形の形がある,Gr,965,,genu-1+s(w)eks
kneel,genu,,,,,名,ひざまずく,genuflect,過去形 knelt は19世紀の新顔。feel/felt にならって作られた。,,,G,814,,genu-1
pentagon,genu,penta,gon,penta|gon,[péntəgɑ̀n],名,五角形,五つの角をもつ図形,ギリシャ語で「五つの角」。角を表す語は knee と同じ一族。,The badge is a <mark>pentagon</mark>.,そのバッジは五角形だ,Gr,1079,,penkʷe+genu-1
octagon,genu,octa,gon,octa|gon,[ɑ́ktəgɑ̀n],名,八角形,八つの角をもつ図形,ギリシャ語で「八つの角」。October と同じ「八」の語。,The sign is an <mark>octagon</mark>.,その標識は八角形だ,Gr,1075,,genu-1+oktō(u)
trigonometry,genu,tri,gonometry,tri|gon|metry,[trìgənɑ́mətri],名,三角法,角を測る数学,ギリシャ語で「三角を測ること」。そのままの組み立てである。,We learned <mark>trigonometry</mark> in class.,授業で三角法を学んだ,Gr,1055,,genu-1
orthogonal,genu,ortho,gonal,ortho|gon,[ɔːrθɑ́gənəl],形,直交する,直角に交わる,後半の gōnia「角」は語根の「膝」から。膝の曲がりが角の名になった。,The two lines are <mark>orthogonal</mark>.,二本の線は直交している,Gr,768,,erədh-+genu-1
